# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-06-06 13:13:51 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03293000 M FK BEARGRASS CR AT OLD CANNONS LN AT LOUISVILLE,
# -----------------------------------------------------------------------------------
#
# Data provided for site 03293000
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	03293000	2015-06-23	19	P
USGS	03293000	2015-06-24	13	P
USGS	03293000	2015-06-25	9.9	P
USGS	03293000	2015-06-26	79	P
USGS	03293000	2015-06-27	100	P
USGS	03293000	2015-06-28	30	P
USGS	03293000	2015-06-29	95	P
USGS	03293000	2015-06-30	36	P
USGS	03293000	2015-07-01	19	P
USGS	03293000	2015-07-02	70	P
USGS	03293000	2015-07-03	173	P
USGS	03293000	2015-07-04	94	P
USGS	03293000	2015-07-05	38	P
USGS	03293000	2015-07-06	27	P
USGS	03293000	2015-07-07	50	P
USGS	03293000	2015-07-08	63	P
USGS	03293000	2015-07-09	58	P
USGS	03293000	2015-07-10	107	P
USGS	03293000	2015-07-11	67	P
USGS	03293000	2015-07-12	1790	P
USGS	03293000	2015-07-13	268	P
USGS	03293000	2015-07-14	836	P
USGS	03293000	2015-07-15	122	P
USGS	03293000	2015-07-16	64	P
USGS	03293000	2015-07-17	42	P
USGS	03293000	2015-07-18	279	P
USGS	03293000	2015-07-19	56	P
USGS	03293000	2015-07-20	37	P
USGS	03293000	2015-07-21	26	P
USGS	03293000	2015-07-22	19	P
USGS	03293000	2015-07-23	14	P
USGS	03293000	2015-07-24	11	P
USGS	03293000	2015-07-25	9.0	P
USGS	03293000	2015-07-26	7.6	P
USGS	03293000	2015-07-27	6.7	P
USGS	03293000	2015-07-28	6.3	P
USGS	03293000	2015-07-29	5.4	P
USGS	03293000	2015-07-30	7.9	P
USGS	03293000	2015-07-31	4.9	P
